Date/Time,Type,CO2_input (V),PAR_input (mV),Temp_air ('C),Temp_soil ('C),CO2 (ppm),PAR (umolsm2)
12/07/2021 13:36:10,Interval,2.1554,0.397934,25.67,32.29,431.09,101.39
12/07/2021 13:36:11,Interval,2.1502,#N/A,#N/A,#N/A,430.05,#N/A
12/07/2021 13:36:12,Interval,2.1501,#N/A,#N/A,#N/A,430.02,#N/A
12/07/2021 13:36:13,Interval,2.1533,#N/A,#N/A,#N/A,430.65,#N/A
12/07/2021 13:36:14,Interval,2.1450,#N/A,#N/A,#N/A,429.00,#N/A
12/07/2021 13:36:15,Interval,2.1485,#N/A,#N/A,#N/A,429.71,#N/A
12/07/2021 13:36:16,Interval,2.1490,#N/A,#N/A,#N/A,429.79,#N/A
12/07/2021 13:36:17,Interval,2.1501,#N/A,#N/A,#N/A,430.02,#N/A
12/07/2021 13:36:18,Interval,2.1438,#N/A,#N/A,#N/A,428.76,#N/A
12/07/2021 13:36:19,Interval,2.1469,#N/A,#N/A,#N/A,429.37,#N/A
12/07/2021 13:36:20,Interval,2.1468,0.391959,25.71,32.49,429.37,99.87
12/07/2021 13:36:21,Interval,2.1448,#N/A,#N/A,#N/A,428.97,#N/A
12/07/2021 13:36:22,Interval,2.1460,#N/A,#N/A,#N/A,429.21,#N/A
12/07/2021 13:36:23,Interval,2.1452,#N/A,#N/A,#N/A,429.05,#N/A
12/07/2021 13:36:24,Interval,2.1405,#N/A,#N/A,#N/A,428.11,#N/A
12/07/2021 13:36:25,Interval,2.1405,#N/A,#N/A,#N/A,428.10,#N/A
12/07/2021 13:36:26,Interval,2.1456,#N/A,#N/A,#N/A,429.12,#N/A
12/07/2021 13:36:27,Interval,2.1382,#N/A,#N/A,#N/A,427.63,#N/A
12/07/2021 13:36:28,Interval,2.1417,#N/A,#N/A,#N/A,428.34,#N/A
12/07/2021 13:36:29,Interval,2.1417,#N/A,#N/A,#N/A,428.34,#N/A
12/07/2021 13:36:30,Interval,2.1418,0.396739,25.66,32.53,428.35,101.09
