Date/Time,Type,CO2_input (V),PAR_input (mV),Temp_air ('C),Temp_soil ('C),CO2 (ppm),PAR (umolsm2)
21/06/2021 12:12:49,Interval,2.0917,#N/A,#N/A,#N/A,418.33,#N/A
21/06/2021 12:12:50,Interval,2.0952,#N/A,#N/A,#N/A,419.04,#N/A
21/06/2021 12:12:51,Interval,2.0952,#N/A,#N/A,#N/A,419.03,#N/A
21/06/2021 12:12:52,Interval,2.0956,#N/A,#N/A,#N/A,419.11,#N/A
21/06/2021 12:12:53,Interval,2.0928,#N/A,#N/A,#N/A,418.56,#N/A
21/06/2021 12:12:54,Interval,2.0893,#N/A,#N/A,#N/A,417.86,#N/A
21/06/2021 12:12:55,Interval,2.0920,#N/A,#N/A,#N/A,418.40,#N/A
21/06/2021 12:12:56,Interval,2.0928,#N/A,#N/A,#N/A,418.56,#N/A
21/06/2021 12:12:57,Interval,2.0911,#N/A,#N/A,#N/A,418.22,#N/A
21/06/2021 12:12:58,Interval,2.0895,1.336599,13.73,7.37,417.90,340.57
21/06/2021 12:12:59,Interval,2.0902,#N/A,#N/A,#N/A,418.03,#N/A
21/06/2021 12:13:00,Interval,2.0936,#N/A,#N/A,#N/A,418.72,#N/A
21/06/2021 12:13:01,Interval,2.0882,#N/A,#N/A,#N/A,417.64,#N/A
21/06/2021 12:13:02,Interval,2.0894,#N/A,#N/A,#N/A,417.87,#N/A
21/06/2021 12:13:03,Interval,2.0890,#N/A,#N/A,#N/A,417.80,#N/A
21/06/2021 12:13:04,Interval,2.0886,#N/A,#N/A,#N/A,417.72,#N/A
21/06/2021 12:13:05,Interval,2.0862,#N/A,#N/A,#N/A,417.25,#N/A
21/06/2021 12:13:06,Interval,2.0912,#N/A,#N/A,#N/A,418.25,#N/A
21/06/2021 12:13:07,Interval,2.0889,#N/A,#N/A,#N/A,417.78,#N/A
