datetime,temp_air,temp_soil,conc,PAR,turfID,type,start,end,fluxID,n_conc,ratio,flag,time,cut,Cm_est,a_est,b_est,tz_est,Cz,time_diff,Cm,a,b,tz,slope_tz,fit,fit_slope,start_z
2022-07-28T23:43:35Z,NA,NA,447.22,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,0,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,434.8993665896902,435.080647421733,2022-07-28T23:43:49Z
2022-07-28T23:43:36Z,7.22,10.88,447.22,1.68,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,1,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,435.74493386622424,435.9022245959728,2022-07-28T23:43:49Z
2022-07-28T23:43:37Z,NA,NA,448.47,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,2,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,436.5889014577818,436.7238017702127,2022-07-28T23:43:49Z
2022-07-28T23:43:38Z,NA,NA,448.85,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,3,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,437.4312455658609,437.5453789444525,2022-07-28T23:43:49Z
2022-07-28T23:43:39Z,NA,NA,449.48,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,4,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,438.2719420379096,438.36695611869237,2022-07-28T23:43:49Z
2022-07-28T23:43:40Z,NA,NA,449.8,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,5,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,439.11096636205855,439.18853329293216,2022-07-28T23:43:49Z
2022-07-28T23:43:41Z,NA,NA,450.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,6,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,439.94829366177544,440.010110467172,2022-07-28T23:43:49Z
2022-07-28T23:43:42Z,NA,NA,451.44,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,7,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,440.78389869044014,440.83168764141186,2022-07-28T23:43:49Z
2022-07-28T23:43:43Z,NA,NA,452.94,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,8,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,441.61775582583857,441.6532648156517,2022-07-28T23:43:49Z
2022-07-28T23:43:44Z,NA,NA,453.1,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,9,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,442.4498390645753,442.47484198989156,2022-07-28T23:43:49Z
2022-07-28T23:43:45Z,NA,NA,453.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,10,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,443.2801220164024,443.2964191641314,2022-07-28T23:43:49Z
2022-07-28T23:43:46Z,7.22,10.87,454.74,1.98,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,11,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,444.10857789846455,444.11799633837126,2022-07-28T23:43:49Z
2022-07-28T23:43:47Z,NA,NA,455.38,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:05Z,1,210,1,NA,12,keep,522.66,0.9420406368563928,-0.0037332157313157647,14,446.6963970588235,0,455.6023252279812,0.9530947183809129,-0.014767415775542702,14.13835486342217,0.8215771742398428,444.9351795294581,444.9395735126111,2022-07-28T23:43:49Z
