datetime,temp_air,temp_soil,conc,PAR,turfID,type,start,end,fluxID,n_conc,ratio,flag,time,cut,std.error,p.value,r.squared,adj.r.squared,intercept,slope,fit
2022-07-28T23:43:35Z,NA,NA,447.22,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,0,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,477.0789839765293
2022-07-28T23:43:36Z,7.22,10.88,447.22,1.68,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,1,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,477.19174740167983
2022-07-28T23:43:37Z,NA,NA,448.47,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,2,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,477.3045108268304
2022-07-28T23:43:38Z,NA,NA,448.85,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,3,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,477.4172742519809
2022-07-28T23:43:39Z,NA,NA,449.48,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,4,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,477.5300376771315
2022-07-28T23:43:40Z,NA,NA,449.8,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,5,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,477.6428011022821
2022-07-28T23:43:41Z,NA,NA,450.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,6,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,477.7555645274326
2022-07-28T23:43:42Z,NA,NA,451.44,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,7,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,477.8683279525832
2022-07-28T23:43:43Z,NA,NA,452.94,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,8,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,477.9810913777337
2022-07-28T23:43:44Z,NA,NA,453.1,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,9,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,478.09385480288427
2022-07-28T23:43:45Z,NA,NA,453.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,10,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,478.2066182280348
2022-07-28T23:43:46Z,7.22,10.87,454.74,1.98,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,11,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,478.31938165318536
2022-07-28T23:43:47Z,NA,NA,455.38,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,12,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,478.4321450783359
2022-07-28T23:43:48Z,NA,NA,456.16,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,13,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,478.5449085034865
2022-07-28T23:43:49Z,NA,NA,457.64,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,14,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,478.65767192863706
2022-07-28T23:43:50Z,NA,NA,457.03,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,15,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,478.7704353537876
2022-07-28T23:43:51Z,NA,NA,457.98,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,16,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,478.88319877893815
2022-07-28T23:43:52Z,NA,NA,458.73,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,17,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,478.9959622040887
2022-07-28T23:43:53Z,NA,NA,459.17,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,18,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,479.10872562923925
2022-07-28T23:43:54Z,NA,NA,459.97,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,19,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,479.2214890543898
2022-07-28T23:43:55Z,NA,NA,460.83,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,20,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,479.33425247954034
2022-07-28T23:43:56Z,7.22,10.87,461.86,1.53,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,21,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,479.4470159046909
2022-07-28T23:43:57Z,NA,NA,462.56,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,22,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,479.5597793298415
2022-07-28T23:43:58Z,NA,NA,462.64,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,23,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,479.67254275499204
2022-07-28T23:43:59Z,NA,NA,463.57,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,24,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,479.7853061801426
2022-07-28T23:44:00Z,NA,NA,463.96,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,25,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,479.89806960529313
2022-07-28T23:44:01Z,NA,NA,464.36,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,26,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,480.0108330304437
2022-07-28T23:44:02Z,NA,NA,465.69,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,27,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,480.1235964555942
2022-07-28T23:44:03Z,NA,NA,465.61,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,28,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,480.23635988074477
2022-07-28T23:44:04Z,NA,NA,466.64,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,29,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,480.3491233058953
2022-07-28T23:44:05Z,NA,NA,466.79,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,30,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,480.4618867310459
2022-07-28T23:44:06Z,7.23,10.86,467.49,1.98,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,31,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,480.57465015619647
2022-07-28T23:44:07Z,NA,NA,468.84,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,32,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,480.687413581347
