turfID,type,starting_time,date,comments,data_entry
27 AN3C 27,NEE,204215,2022-07-27,,hilary rose
27 AN3C 27,ER,204610,2022-07-27,,hilary rose
77 AN2C 77,NEE,205315,2022-07-27,,hilary rose
77 AN2C 77,ER,205820,2022-07-27,,hilary rose
4 AN1C 4,NEE,214900,2022-07-27,"soil temp came out, put back at 215215",hilary rose
4 AN1C 4,ER,215400,2022-07-27,,hilary rose
27 AN3C 27,NEE,215915,2022-07-27,,hilary rose
27 AN3C 27,ER,220315,2022-07-27,,hilary rose
77 AN2C 77,NEE,220930,2022-07-27,,hilary rose
77 AN2C 77,ER,221330,2022-07-27,,hilary rose
4 AN1C 4,NEE,224730,2022-07-27,return air tube likely leaky,hilary rose
4 AN1C 4,ER,225200,2022-07-27,return air tube likely leaky,hilary rose
27 AN3C 27,NEE,225800,2022-07-27,return air tube likely leaky,hilary rose
27 AN3C 27,ER,230300,2022-07-27,return air tube likely leaky,hilary rose
77 AN2C 77,NEE,231030,2022-07-27,,hilary rose
77 AN2C 77,ER,231530,2022-07-27,,hilary rose
4 AN1C 4,NEE,232900,2022-07-27,,hilary rose
4 AN1C 4,ER,233300,2022-07-27,,hilary rose
27 AN3C 27,NEE,233820,2022-07-27,,hilary rose
27 AN3C 27,ER,234415,2022-07-27,,hilary rose
77 AN2C 77,NEE,234920,2022-07-27,,hilary rose
77 AN2C 77,ER,235330,2022-07-27,,hilary rose
4 AN1C 4,NEE,012828,2022-07-28,Julia,hilary rose
4 AN1C 4,ER,013326,2022-07-28,,hilary rose
27 AN3C 27,NEE,014320,2022-07-28,,hilary rose
27 AN3C 27,ER,014909,2022-07-28,,hilary rose
77 AN2C 77,NEE,015540,2022-07-28,,hilary rose
77 AN2C 77,ER,020040,2022-07-28,,hilary rose
4 AN1C 4,NEE,021949,2022-07-28,,hilary rose
4 AN1C 4,ER,022405,2022-07-28,no soil temp,hilary rose
27 AN3C 27,NEE,022926,2022-07-28,,hilary rose
27 AN3C 27,ER,023339,2022-07-28,,hilary rose
77 AN2C 77,NEE,023955,2022-07-28,no soil T NEE,hilary rose
77 AN2C 77,ER,024415,2022-07-28,,hilary rose
4 AN1C 4,NEE,032034,2022-07-28,,hilary rose
4 AN1C 4,ER,032510,2022-07-28,,hilary rose
27 AN3C 27,NEE,033050,2022-07-28,,hilary rose
27 AN3C 27,ER,033446,2022-07-28,,hilary rose
77 AN2C 77,NEE,034515,2022-07-28,remeasure,hilary rose
77 AN2C 77,ER,035011,2022-07-28,,hilary rose
4 AN1C 4,NEE,042644,2022-07-28,,joseph gaudard
4 AN1C 4,ER,043104,2022-07-28,,joseph gaudard
27 AN3C 27,NEE,043716,2022-07-28,,joseph gaudard
27 AN3C 27,ER,044123,2022-07-28,,joseph gaudard
77 AN2C 77,NEE,044702,2022-07-28,,joseph gaudard
77 AN2C 77,ER,045101,2022-07-28,,joseph gaudard
