datetime,temp_air,temp_soil,conc,PAR,turfID,type,start,end,fluxID,n_conc,ratio,flag,time,cut,Cm_est,a_est,b_est,tz_est,Cz,Cm,a,b,tz,slope_tz,fit,fit_slope,start_z
2022-07-28T23:43:35Z,NA,NA,447.22,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,0,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,435.4220338419001,435.5946772646617,2022-07-28T23:43:49Z
2022-07-28T23:43:36Z,7.22,10.88,447.22,1.68,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,1,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,436.22764199373194,436.37730824747877,2022-07-28T23:43:49Z
2022-07-28T23:43:37Z,NA,NA,448.47,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,2,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,437.0316797096347,437.1599392302958,2022-07-28T23:43:49Z
2022-07-28T23:43:38Z,NA,NA,448.85,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,3,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,437.83413055472477,437.94257021311284,2022-07-28T23:43:49Z
2022-07-28T23:43:39Z,NA,NA,449.48,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,4,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,438.63497792212445,438.72520119592986,2022-07-28T23:43:49Z
2022-07-28T23:43:40Z,NA,NA,449.8,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,5,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,439.4342050311623,439.5078321787469,2022-07-28T23:43:49Z
2022-07-28T23:43:41Z,NA,NA,450.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,6,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,440.23179492555425,440.290463161564,2022-07-28T23:43:49Z
2022-07-28T23:43:42Z,NA,NA,451.44,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,7,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,441.0277304715657,441.073094144381,2022-07-28T23:43:49Z
2022-07-28T23:43:43Z,NA,NA,452.94,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,8,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,441.8219943561546,441.85572512719807,2022-07-28T23:43:49Z
2022-07-28T23:43:44Z,NA,NA,453.1,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,9,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,442.6145690850951,442.6383561100151,2022-07-28T23:43:49Z
2022-07-28T23:43:45Z,NA,NA,453.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,10,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,443.40543698108087,443.42098709283215,2022-07-28T23:43:49Z
2022-07-28T23:43:46Z,7.22,10.87,454.74,1.98,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,11,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,444.1945801818097,444.20361807564916,2022-07-28T23:43:49Z
2022-07-28T23:43:47Z,NA,NA,455.38,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:46:35Z,1,211,0.9547511312217196,NA,12,keep,532.03,0.9221173717839006,-0.0033164144907237114,14,446.6963970588235,463.3176329943581,0.9556712158204183,-0.01041079217421071,14.185126883428065,0.7826309828170446,444.9819806380475,444.9862490584662,2022-07-28T23:43:49Z
