turfID,type,starting_time,date,comments,data_entry,
3 WN1C 85,NEE,173124,2022-07-28,,,
3 WN1C 85,ER,173505,2022-07-28,,,
156 AN2C 156,NEE,174040,2022-07-28,,,
156 AN2C 156,ER,174426,2022-07-28,,,
74 WN2C 155,NEE,174807,2022-07-28,,,
74 WN2C 155,ER,175145,2022-07-28,,,
109 AN3C 109,NEE,175720,2022-07-28,,,
109 AN3C 109,ER,180100,2022-07-28,,,
29 WN3C 106,NEE,180520,2022-07-28,,,
29 WN3C 106,ER,180858,2022-07-28,182000 hrs measurement missing due to broken system,,
81 AN1C 81,NEE,192255,2022-07-28,,,
81 AN1C 81,ER,192657,2022-07-28,,,
3 WN1C 85,NEE,193710,2022-07-28,,,
3 WN1C 85,ER,194105,2022-07-28,,,
156 AN2C 156,NEE,194619,2022-07-28,,,
156 AN2C 156,ER,195035,2022-07-28,,,
74 WN2C 155,NEE,195439,2022-07-28,,,
74 WN2C 155,ER,195847,2022-07-28,,,
109 AN3C 109,NEE,200517,2022-07-28,,,
109 AN3C 109,ER,200935,2022-07-28,,,
29 WN3C 106,NEE,202158,2022-07-28,,,
29 WN3C 106,ER,202605,2022-07-28,,,
81 AN1C 81,NEE,203015,2022-07-28,,,
81 AN1C 81,ER,203430,2022-07-28,,,
3 WN1C 85,NEE,203840,2022-07-28,,,
3 WN1C 85,ER,204232,2022-07-28,,,
156 AN2C 156,NEE,204811,2022-07-28,,,
156 AN2C 156,ER,205219,2022-07-28,,,
74 WN2C 155,NEE,205619,2022-07-28,might be weird,,
74 WN2C 155,ER,210032,2022-07-28,,,
109 AN3C 109,NEE,210637,2022-07-28,,,
109 AN3C 109,ER,211010,2022-07-28,,,
29 WN3C 106,NEE,211413,2022-07-28,,,
29 WN3C 106,ER,212055,2022-07-28,,,
81 AN1C 81,NEE,212540,2022-07-28,,,
81 AN1C 81,ER,212937,2022-07-28,,,
3 WN1C 85,NEE,213325,2022-07-28,,,
3 WN1C 85,ER,213743,2022-07-28,,,
156 AN2C 156,NEE,214315,2022-07-28,,,
156 AN2C 156,ER,214650,2022-07-28,,,
74 WN2C 155,NEE,215028,2022-07-28,,,
74 WN2C 155,ER,215415,2022-07-28,,,
109 AN3C 109,NEE,220215,2022-07-28,,,
109 AN3C 109,ER,220724,2022-07-28,,,
29 WN3C 106,NEE,221134,2022-07-28,,,
29 WN3C 106,ER,221535,2022-07-28,,,
81 AN1C 81,NEE,222045,2022-07-28,,,
81 AN1C 81,ER,222454,2022-07-28,did one twice,' don''t know which for sure',223305
3 WN1C 85,NEE,222856,2022-07-28,did one twice,' don''t know which for sure',223305
3 WN1C 85,ER,223700,2022-07-28,did one twice,' don''t know which for sure',223305
156 AN2C 156,NEE,224713,2022-07-28,,,
156 AN2C 156,ER,225119,2022-07-28,,,
74 WN2C 155,NEE,225458,2022-07-28,,,
74 WN2C 155,ER,225835,2022-07-28,,,
109 AN3C 109,NEE,230405,2022-07-28,,,
109 AN3C 109,ER,230746,2022-07-28,,,
29 WN3C 106,NEE,231110,2022-07-28,,,
29 WN3C 106,ER,231506,2022-07-28,,,
81 AN1C 81,NEE,232155,2022-07-28,,,
81 AN1C 81,ER,232535,2022-07-28,,,
3 WN1C 85,NEE,232913,2022-07-28,,,
3 WN1C 85,ER,233309,2022-07-28,,,
156 AN2C 156,NEE,233928,2022-07-28,,,
156 AN2C 156,ER,234325,2022-07-28,,,
74 WN2C 155,NEE,234712,2022-07-28,,,
74 WN2C 155,ER,235200,2022-07-28,,,
109 AN3C 109,NEE,235922,2022-07-28,,,
109 AN3C 109,ER,000300,2022-07-29,,,
29 WN3C 106,NEE,000625,2022-07-29,,,
29 WN3C 106,ER,001030,2022-07-29,,,
81 AN1C 81,NEE,002054,2022-07-29,,,
81 AN1C 81,ER,002505,2022-07-29,,,
3 WN1C 85,NEE,002922,2022-07-29,,,
3 WN1C 85,ER,003340,2022-07-29,109 109 29 109 DID RIGHT on from here,,
156 AN2C 156,NEE,003915,2022-07-29,,,
156 AN2C 156,ER,004305,2022-07-29,,,
74 WN2C 155,NEE,004807,2022-07-29,,,
74 WN2C 155,ER,005202,2022-07-29,,,
109 AN3C 109,NEE,005735,2022-07-29,,,
109 AN3C 109,ER,010127,2022-07-29,,,
29 WN3C 106,NEE,010509,2022-07-29,,,
29 WN3C 106,ER,010913,2022-07-29,,,
81 AN1C 81,NEE,012137,2022-07-29,,,
81 AN1C 81,ER,012554,2022-07-29,,,
3 WN1C 85,NEE,013011,2022-07-29,,,
3 WN1C 85,ER,013411,2022-07-29,,,
156 AN2C 156,NEE,014030,2022-07-29,,,
156 AN2C 156,ER,014420,2022-07-29,,,
74 WN2C 155,NEE,014823,2022-07-29,,,
74 WN2C 155,ER,015228,2022-07-29,,,
109 AN3C 109,NEE,015814,2022-07-29,,,
109 AN3C 109,ER,020237,2022-07-29,,,
29 WN3C 106,NEE,020626,2022-07-29,,,
29 WN3C 106,ER,021028,2022-07-29,,,
81 AN1C 81,NEE,022151,2022-07-29,,,
81 AN1C 81,ER,022620,2022-07-29,,,
3 WN1C 85,NEE,023022,2022-07-29,,,
3 WN1C 85,ER,023412,2022-07-29,,,
156 AN2C 156,NEE,024031,2022-07-29,,,
156 AN2C 156,ER,024419,2022-07-29,,,
74 WN2C 155,NEE,024911,2022-07-29,,,
74 WN2C 155,ER,025333,2022-07-29,,,
109 AN3C 109,NEE,030004,2022-07-29,problem with 109 (called last) We did it correctly,,
109 AN3C 109,ER,030449,2022-07-29,,,
29 WN3C 106,NEE,030840,2022-07-29,,,
29 WN3C 106,ER,031259,2022-07-29,,,
81 AN1C 81,NEE,032158,2022-07-29,Need to redo at 0320 --> 0620,,
81 AN1C 81,ER,032538,2022-07-29,,,
3 WN1C 85,NEE,032951,2022-07-29,,,
3 WN1C 85,ER,033348,2022-07-29,,,
156 AN2C 156,NEE,033919,2022-07-29,LICOR :(,,
81 AN1C 81,NEE,032900,2022-07-30,,,
81 AN1C 81,ER,033358,2022-07-30,,,
3 WN1C 85,NEE,033800,2022-07-30,,,
3 WN1C 85,ER,034215,2022-07-30,,,
156 AN2C 156,NEE,034810,2022-07-30,,,
156 AN2C 156,ER,035200,2022-07-30,,,
74 WN2C 155,NEE,035620,2022-07-30,,,
