f_datetime,temp_air,temp_soil,f_conc,PAR,turfID,type,f_start,f_end,f_fluxID,n_conc,ratio,flag,f_time,f_cut,Cm_est,a_est,b_est,tz_est,f_Cz,time_diff,f_Cm,f_a,f_b,f_tz,f_slope_tz,f_fit,f_fit_slope,f_start_z,volume
2022-07-28T23:43:35Z,NA,NA,447.22,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,0,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,430.5957252482603,431.6772467331669,2022-07-28T23:43:44Z,18
2022-07-28T23:43:36Z,7.22,10.88,447.22,1.68,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,1,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,432.36515657947155,433.2323059596305,2022-07-28T23:43:44Z,18
2022-07-28T23:43:37Z,NA,NA,448.47,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,2,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,434.1105200551192,434.7873651860941,2022-07-28T23:43:44Z,18
2022-07-28T23:43:38Z,NA,NA,448.85,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,3,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,435.83198038697407,436.34242441255776,2022-07-28T23:43:44Z,18
2022-07-28T23:43:39Z,NA,NA,449.48,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,4,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,437.5297011595791,437.8974836390214,2022-07-28T23:43:44Z,18
2022-07-28T23:43:40Z,NA,NA,449.8,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,5,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,439.20384483796306,439.45254286548504,2022-07-28T23:43:44Z,18
2022-07-28T23:43:41Z,NA,NA,450.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,6,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,440.8545727753027,441.0076020919488,2022-07-28T23:43:44Z,18
2022-07-28T23:43:42Z,NA,NA,451.44,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,7,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,442.482045220531,442.5626613184125,2022-07-28T23:43:44Z,18
2022-07-28T23:43:43Z,NA,NA,452.94,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,8,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,444.0864213258949,444.1177205448761,2022-07-28T23:43:44Z,18
2022-07-28T23:43:44Z,NA,NA,453.1,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,9,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,445.6678591544606,445.6727797713397,2022-07-28T23:43:44Z,18
2022-07-28T23:43:45Z,NA,NA,453.65,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,10,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,447.22651568756726,447.22783899780336,2022-07-28T23:43:44Z,18
2022-07-28T23:43:46Z,7.22,10.87,454.74,1.98,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,11,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,448.76254683223,448.782898224267,2022-07-28T23:43:44Z,18
2022-07-28T23:43:47Z,NA,NA,455.38,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,12,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,450.2761074284922,450.33795745073064,2022-07-28T23:43:44Z,18
2022-07-28T23:43:48Z,NA,NA,456.16,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,13,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,451.76735125672775,451.8930166771943,2022-07-28T23:43:44Z,18
2022-07-28T23:43:49Z,NA,NA,457.64,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,14,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,453.2364310448927,453.4480759036579,2022-07-28T23:43:44Z,18
2022-07-28T23:43:50Z,NA,NA,457.03,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,15,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,454.6834984757278,455.0031351301216,2022-07-28T23:43:44Z,18
2022-07-28T23:43:51Z,NA,NA,457.98,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,16,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,456.10870419391114,456.5581943565852,2022-07-28T23:43:44Z,18
2022-07-28T23:43:52Z,NA,NA,458.73,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,17,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,457.51219781316325,458.1132535830489,2022-07-28T23:43:44Z,18
2022-07-28T23:43:53Z,NA,NA,459.17,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,18,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,458.8941279233018,459.6683128095125,2022-07-28T23:43:44Z,18
2022-07-28T23:43:54Z,NA,NA,459.97,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,19,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,460.2546420972488,461.2233720359761,2022-07-28T23:43:44Z,18
2022-07-28T23:43:55Z,NA,NA,460.83,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,20,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,461.5938868979904,462.77843126243977,2022-07-28T23:43:44Z,18
2022-07-28T23:43:56Z,7.22,10.87,461.86,1.53,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,21,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,462.91200788548815,464.3334904889034,2022-07-28T23:43:44Z,18
2022-07-28T23:43:57Z,NA,NA,462.56,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,22,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,464.2091496235436,465.88854971536705,2022-07-28T23:43:44Z,18
2022-07-28T23:43:58Z,NA,NA,462.64,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,23,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,465.4854556866149,467.4436089418307,2022-07-28T23:43:44Z,18
2022-07-28T23:43:59Z,NA,NA,463.57,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,24,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,466.7410686665888,468.99866816829433,2022-07-28T23:43:44Z,18
2022-07-28T23:44:00Z,NA,NA,463.96,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,25,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,467.9761301795041,470.553727394758,2022-07-28T23:43:44Z,18
2022-07-28T23:44:01Z,NA,NA,464.36,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,26,keep,532.03,0.22274088418878593,-0.00331641449072371,14,446.6963970588235,0,927.6004280024604,-1.7473887942978477,0.00686716643709844,9.658249711692086,1.5550592264636458,469.1907808722301,472.1087866212216,2022-07-28T23:43:44Z,18
