datetime,temp_air,temp_soil,conc,PAR,turfID,type,start,end,fluxID,n_conc,ratio,flag,time,cut,Cm_est,a_est,b_est,tz_est,Cz,Cm,a,b,tz,slope_tz,fit,fit_slope,start_z,temp_fahr,temp_kelvin
2022-07-28T23:43:48Z,NA,NA,456.16,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,13,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,451.767351256728,451.893016677194,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:43:49Z,NA,NA,457.64,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,14,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,453.236431044893,453.448075903658,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:43:50Z,NA,NA,457.03,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,15,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,454.683498475728,455.003135130122,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:43:51Z,NA,NA,457.98,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,16,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,456.108704193911,456.558194356585,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:43:52Z,NA,NA,458.73,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,17,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,457.512197813163,458.113253583049,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:43:53Z,NA,NA,459.17,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,18,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,458.894127923302,459.668312809513,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:43:54Z,NA,NA,459.97,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,19,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,460.254642097249,461.223372035976,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:43:55Z,NA,NA,460.83,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,20,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,461.59388689799,462.77843126244,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:43:56Z,7.22,10.87,461.86,1.53,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,21,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,462.912007885488,464.333490488903,2022-07-28T23:43:44Z,44.996,280.37
2022-07-28T23:43:57Z,NA,NA,462.56,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,22,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,464.209149623544,465.888549715367,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
