Apr 10 2019 at 15:45:10
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.78	25.66	67.32	0.00	0.0614	11.12	489.3	410.36	0.0423	306.1	5.509	11.30	2.99	1.47
	1.78	25.66	67.31	0.00	0.0612	11.10	488.3	409.58	0.0426	308.9	5.560	11.40	3.12	1.47
	2.78	25.68	67.29	0.00	0.0613	11.11	488.8	410.13	0.0423	307.2	5.529	11.34	3.04	1.47
	3.78	25.66	67.31	0.00	0.0614	11.12	489.5	410.55	0.0427	308.7	5.557	11.39	3.11	1.47
	4.78	25.64	67.29	0.00	0.0614	11.11	489.0	410.25	0.0426	312.9	5.632	11.55	3.30	1.47
	5.78	25.70	67.34	0.00	0.0613	11.11	489.0	410.02	0.0427	309.2	5.565	11.41	3.13	1.47
	6.78	25.64	67.34	0.00	0.0613	11.10	488.5	409.59	0.0429	311.7	5.611	11.50	3.25	1.47
	7.78	25.64	67.31	0.00	0.0613	11.09	487.8	409.17	0.0427	311.6	5.608	11.50	3.24	1.47
	8.78	25.69	67.32	0.00	0.0613	11.10	488.2	409.50	0.0428	312.0	5.616	11.52	3.26	1.47
	9.86	25.66	67.31	0.00	0.0613	11.10	488.3	409.60	0.0430	312.4	5.624	11.53	3.28	1.47
	10.78	25.66	67.31	0.00	0.0612	11.06	486.8	408.35	0.0433	316.5	5.696	11.68	3.46	1.47
	11.86	25.64	67.32	0.00	0.0612	11.08	487.3	408.73	0.0434	316.8	5.703	11.69	3.48	1.47
	12.78	25.64	67.34	0.00	0.0613	11.09	487.8	408.98	0.0432	315.6	5.680	11.64	3.42	1.47
	13.86	25.66	67.31	0.00	0.0613	11.09	487.9	409.24	0.0433	315.0	5.670	11.63	3.40	1.47
	14.78	25.64	67.34	0.00	0.0612	11.07	487.3	408.54	0.0432	316.0	5.688	11.66	3.44	1.47
	15.80	25.64	67.31	0.00	0.0611	11.06	486.5	408.03	0.0434	317.6	5.716	11.72	3.51	1.47
	16.78	25.62	67.31	0.00	0.0611	11.06	486.8	408.28	0.0437	320.6	5.771	11.83	3.64	1.47
	17.78	25.66	67.31	0.00	0.0612	11.07	487.1	408.55	0.0437	319.9	5.759	11.81	3.62	1.47
